City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,roma,43.2128,-75.4557,7.63,66,20,4.12,US,1676396005
286,norman wells,65.282,-126.8329,-36.98,67,20,1.54,CA,1676395849
287,puerto leguizamo,-0.1934,-74.7819,30.01,66,83,0.59,CO,1676396040
288,odienne,9.51,-7.5692,35.02,8,6,2.94,CI,1676396040
289,sabang,5.8933,95.3214,27.9,73,69,4.94,ID,1676396040
290,vila velha,-20.3297,-40.2925,30.97,73,20,7.2,BR,1676395813
291,mazurivka,49.2745,24.2123,1.68,92,98,4.83,UA,1676396041
292,gunjur,13.2019,-16.7339,23.02,64,54,9.04,GM,1676396041
293,jalalabad,34.4265,70.4515,15.1,41,80,2.19,AF,1676396041
294,coronado,32.6859,-117.1831,13.37,84,100,8.23,US,1676396041
295,tura,25.5198,90.2201,14.91,37,0,0.88,IN,1676396041
296,pangnirtung,66.1451,-65.7125,-31.0,62,75,0.0,CA,1676396041
297,lipin bor,60.2622,37.9763,-5.65,88,96,4.53,RU,1676396041
298,kall,50.55,6.55,8.03,80,0,2.35,DE,1676396042
299,henties bay,-22.116,14.2845,19.21,83,16,4.72,NA,1676396042
300,cockburn town,21.4612,-71.1419,24.76,70,1,2.94,TC,1676396042
301,morant bay,17.8815,-76.4093,29.79,64,7,5.15,JM,1676396042
302,yei,4.095,30.6779,27.55,20,71,1.54,SS,1676396042
303,coihaique,-45.5752,-72.0662,15.34,76,100,3.09,CL,1676395773
304,bosaso,11.2842,49.1816,24.41,76,0,1.71,SO,1676396043
305,sao joao da barra,-21.6403,-41.0511,32.05,84,89,6.12,BR,1676396043
306,la ronge,55.1001,-105.2842,-20.86,65,20,3.6,CA,1676396043
307,kourou,5.1552,-52.6478,26.03,91,99,4.29,GF,1676396043
308,ulaanbaatar,47.9077,106.8832,-21.93,77,11,1.0,MN,1676395813
309,andenes,69.3143,16.1194,5.99,70,75,8.23,NO,1676396044
310,coffs harbour,-30.3,153.1333,19.52,94,75,3.6,AU,1676396044
311,seabra,-12.4186,-41.7703,31.01,36,18,2.39,BR,1676396044
312,vardo,70.3705,31.1107,-0.01,93,100,5.66,NO,1676396044
313,acarau,-2.8856,-40.12,29.59,67,88,7.89,BR,1676396044
314,payo,-3.7508,103.6372,23.2,85,100,0.6,ID,1676396044
315,valdivia,-39.8142,-73.2459,19.05,56,90,2.46,CL,1676395834
316,calvinia,-31.4707,19.776,23.79,40,0,4.04,ZA,1676396044
317,ulmi,44.4867,25.7803,5.39,66,7,1.78,RO,1676396045
318,jilin,43.0,126.0,-22.07,98,8,1.09,CN,1676396045
319,kavieng,-2.5744,150.7967,27.22,80,100,5.32,PG,1676396045
320,lugoba,-6.45,38.3333,23.94,83,23,2.22,TZ,1676396045
321,ventspils,57.3894,21.5606,0.96,100,43,1.03,LV,1676395802
322,alyangula,-13.8483,136.4192,27.42,79,91,6.77,AU,1676396045
323,quatre cocos,-20.2078,57.7625,26.16,81,24,5.5,MU,1676396045
